#Meteorological data for Loobos (from PALS), 1997-.
#1 years of 30 minute data.
#    Down  Down      Rainfall      Snowfall     Air       Wind                 Specific
#    SWR   LWR        rate           rate      temp.      speed     Pressure   humidity
# (W m-2) (W m-2)  (kg m-2 s-1) (kg m-2 s-1)   (K)       (m s-1) )   (Pa)      (kg kg-1)
  218.1  220.3     0.000e+00     0.000e+00   259.730     3.327     100992.4   1.163e-03
  249.1  222.9     0.000e+00     0.000e+00   260.560     3.418     100993.5   1.229e-03
  278.9  225.5     0.000e+00     0.000e+00   261.400     3.320     100994.6   1.302e-03
  295.9  228.2     0.000e+00     0.000e+00   262.290     3.380     100995.7   1.357e-03
  289.9  230.2     0.000e+00     0.000e+00   263.010     3.380     100996.6   1.379e-03
  259.5  231.0     0.000e+00     0.000e+00   263.320     3.307     100997.0   1.375e-03
  217.3  231.7     0.000e+00     0.000e+00   263.610     3.282     100997.3   1.360e-03
  168.4  231.6     0.000e+00     0.000e+00   263.580     3.675     100997.3   1.358e-03
  114.5  231.3     0.000e+00     0.000e+00   263.500     2.827     100997.2   1.348e-03
   58.5  230.4     0.000e+00     0.000e+00   263.190     2.927     100996.8   1.335e-03
   16.8  228.7     0.000e+00     0.000e+00   262.590     2.400     100996.1   1.316e-03
    0.0  226.8     0.000e+00     0.000e+00   261.870     2.502     100995.2   1.308e-03
    0.0  225.3     0.000e+00     0.000e+00   261.320     2.891     100994.5   1.304e-03
    0.0  224.2     0.000e+00     0.000e+00   260.930     3.144     100994.0   1.280e-03
    0.0  223.1     0.000e+00     0.000e+00   260.600     3.321     100993.6   1.251e-03
    0.0  222.5     0.000e+00     0.000e+00   260.390     3.286     100993.3   1.235e-03
    0.0  221.9     0.000e+00     0.000e+00   260.230     3.290     100993.1   1.215e-03
    0.0  221.6     0.000e+00     0.000e+00   260.120     3.290     100992.9   1.211e-03
    0.0  221.5     0.000e+00     0.000e+00   260.070     3.290     100992.9   1.218e-03
    0.0  221.4     0.000e+00     0.000e+00   260.030     3.290     100992.8   1.223e-03
    0.0  221.5     0.000e+00     0.000e+00   260.020     3.290     100992.8   1.230e-03
    0.0  221.5     0.000e+00     0.000e+00   260.030     3.290     100992.8   1.235e-03
    0.0  221.4     0.000e+00     0.000e+00   259.990     3.290     100992.8   1.235e-03
    0.0  220.9     0.000e+00     0.000e+00   259.820     3.290     100992.6   1.229e-03
    0.0  221.1     0.000e+00     0.000e+00   259.880     3.290     100992.6   1.237e-03
    0.0  221.3     0.000e+00     0.000e+00   259.930     3.290     100992.7   1.247e-03
    0.0  221.9     0.000e+00     0.000e+00   260.120     3.290     100992.9   1.266e-03
    0.0  222.5     0.000e+00     0.000e+00   260.290     3.290     100993.2   1.284e-03
    0.0  223.5     0.000e+00     0.000e+00   260.610     3.321     100993.6   1.318e-03
    0.0  225.1     0.000e+00     0.000e+00   261.110     3.007     100994.2   1.357e-03
    0.0  225.8     0.000e+00     0.000e+00   261.350     2.891     100994.5   1.375e-03
    0.0  225.1     0.000e+00     0.000e+00   261.150     3.022     100994.2   1.353e-03
    0.0  225.1     0.000e+00     0.000e+00   261.170     3.006     100994.3   1.343e-03
    0.0  224.8     0.000e+00     0.000e+00   261.070     3.019     100994.1   1.329e-03
    0.0  225.1     0.000e+00     0.000e+00   261.170     3.006     100994.3   1.335e-03
